coordinates_x,coordinates_y,depth,speed,timestamp,frontCam_w,frontCam_h,sideCam_w,sideCam_h
445,374,212,0.0000,2019.8.6.15.42.53,1280,720,1280,720
445,372,214,0.0000,2019.8.6.15.42.54,1280,720,1280,720
444,374,216,0.0000,2019.8.6.15.42.54,1280,720,1280,720
443,364,228,0.0000,2019.8.6.15.42.55,1280,720,1280,720
443,364,228,4.2981,2019.8.6.15.42.55,1280,720,1280,720
308,225,231,50.4061,2019.8.6.15.42.55,1280,720,1280,720
440,361,231,4.2475,2019.8.6.15.42.55,1280,720,1280,720
295,225,233,94.5640,2019.8.6.15.42.56,1280,720,1280,720
405,330,241,94.5640,2019.8.6.15.42.57,1280,720,1280,720
401,334,242,6.6238,2019.8.6.15.42.57,1280,720,1280,720
395,324,241,6.8478,2019.8.6.15.42.58,1280,720,1280,720
392,307,248,7.7368,2019.8.6.15.42.59,1280,720,1280,720
392,301,250,8.1218,2019.8.6.15.42.59,1280,720,1280,720
288,230,256,17.9408,2019.8.6.15.43.0,1280,720,1280,720
282,246,484,0.0000,2019.8.6.15.45.4,1280,720,1280,720
266,251,478,0.0000,2019.8.6.15.45.5,1280,720,1280,720
812,393,552,0.0000,2019.8.6.15.45.9,1280,720,1280,720
445,374,212,0.0000,2019.8.6.15.45.41,1280,720,1280,720
445,372,214,0.0000,2019.8.6.15.45.41,1280,720,1280,720
444,374,216,0.0000,2019.8.6.15.45.41,1280,720,1280,720
443,364,228,0.0000,2019.8.6.15.45.42,1280,720,1280,720
443,364,228,5.5841,2019.8.6.15.45.42,1280,720,1280,720
308,225,231,47.8945,2019.8.6.15.45.42,1280,720,1280,720
440,361,231,605.6320,2019.8.6.15.45.42,1280,720,1280,720
295,225,233,605.6320,2019.8.6.15.45.43,1280,720,1280,720
405,330,241,6.5718,2019.8.6.15.45.44,1280,720,1280,720
401,334,242,6.0558,2019.8.6.15.45.45,1280,720,1280,720
395,324,241,6.7814,2019.8.6.15.45.45,1280,720,1280,720
392,307,248,7.2701,2019.8.6.15.45.46,1280,720,1280,720
392,301,250,7.9066,2019.8.6.15.45.46,1280,720,1280,720
288,230,256,2.0722,2019.8.6.15.45.47,1280,720,1280,720
291,227,258,1.9031,2019.8.6.15.45.47,1280,720,1280,720
405,257,287,7.0350,2019.8.6.15.45.49,1280,720,1280,720
317,217,187,0.0000,2019.8.6.15.47.37,1280,720,1280,720
316,216,190,0.0000,2019.8.6.15.47.38,1280,720,1280,720
172,101,193,0.0000,2019.8.6.15.47.38,1280,720,1280,720
173,105,194,157.4580,2019.8.6.15.47.38,1280,720,1280,720
174,107,197,9.2141,2019.8.6.15.47.38,1280,720,1280,720
501,133,198,680.4293,2019.8.6.15.47.38,1280,720,1280,720
175,110,201,680.4293,2019.8.6.15.47.38,1280,720,1280,720
176,113,205,74.1180,2019.8.6.15.47.38,1280,720,1280,720
177,116,217,11.6274,2019.8.6.15.47.39,1280,720,1280,720
179,117,219,10.7534,2019.8.6.15.47.39,1280,720,1280,720
317,222,222,79.1818,2019.8.6.15.47.39,1280,720,1280,720
179,122,210,101.9147,2019.8.6.15.47.39,1280,720,1280,720
179,124,229,87.6627,2019.8.6.15.47.39,1280,720,1280,720
181,125,213,8.2418,2019.8.6.15.47.39,1280,720,1280,720
319,222,213,66.1552,2019.8.6.15.47.39,1280,720,1280,720
322,65,213,55.5138,2019.8.6.15.47.40,1280,720,1280,720
260,69,216,33.2163,2019.8.6.15.47.40,1280,720,1280,720
318,221,216,1.8196,2019.8.6.15.47.40,1280,720,1280,720
318,222,218,64.6197,2019.8.6.15.47.40,1280,720,1280,720
319,221,221,63.8504,2019.8.6.15.47.40,1280,720,1280,720
311,71,223,45.5370,2019.8.6.15.47.40,1280,720,1280,720
180,137,226,63.7320,2019.8.6.15.47.40,1280,720,1280,720
180,139,227,55.6462,2019.8.6.15.47.40,1280,720,1280,720
320,76,229,17.8349,2019.8.6.15.47.41,1280,720,1280,720
323,72,229,75.0078,2019.8.6.15.47.41,1280,720,1280,720
318,220,230,3.5105,2019.8.6.15.47.41,1280,720,1280,720
